summonerName,kills,assists,deaths,championName,lane,champExperience,dragonKills,baronKills,goldEarned,totalDamageDealtToChampions,totalHeal,totalMinionsKilled,turretTakedowns,turretsLost,visionScore,timePlayed,win
Blind7,2,13,5,Senna,MIDDLE,12056,0,0,10369,13621,7484,151,5,4,16,1661,True
Faikus,4,7,7,Brand,BOTTOM,16328,0,0,11037,27887,1568,87,0,6,77,2302,True
Faikus,5,6,9,Brand,BOTTOM,15520,0,0,12461,31450,1144,109,0,11,42,2129,False
Faikus,5,8,10,Brand,BOTTOM,14767,0,0,12202,35078,459,82,1,9,65,2141,False
Faikus,4,12,5,Brand,BOTTOM,13416,0,0,11346,43321,488,66,3,0,50,1955,True
Faikus,6,20,2,Brand,BOTTOM,18451,1,0,13152,41176,2335,124,4,4,86,2204,True
Faikus,2,7,9,Brand,BOTTOM,15006,0,0,10712,31540,270,105,2,11,56,2195,False
Faikus,5,14,14,Brand,BOTTOM,15085,0,0,11369,33334,311,91,0,10,73,2187,False
Faikus,8,9,14,Brand,BOTTOM,17311,0,0,14556,51961,9,107,2,11,83,2815,False
Faikus,0,0,0,Brand,NONE,113,0,0,565,70,0,0,0,0,0,121,True
Faikus,1,9,15,Brand,BOTTOM,13389,1,0,10584,27271,0,77,2,9,63,2166,False
Laurențiu,9,11,4,Sylas,NONE,6253,0,0,7652,14482,2644,48,3,0,1,937,True
Laurențiu,6,9,8,Shaco,TOP,15678,0,0,11171,28221,1959,121,1,7,22,1917,True
Laurențiu,4,10,9,Darius,TOP,12368,0,0,8573,17224,4184,101,2,4,12,1676,True
Laurențiu,6,12,6,Shaco,JUNGLE,19868,0,0,14190,36325,2335,175,2,4,31,2380,True
Laurențiu,7,6,6,Shaco,JUNGLE,12711,0,0,9138,23136,1666,86,4,2,16,1703,True
Laurențiu,16,16,6,Shaco,TOP,24426,0,0,17955,50299,9753,111,3,4,28,2562,True
Laurențiu,4,10,5,Shaco,TOP,20184,0,0,14260,45085,3409,157,3,7,30,2402,False
Laurențiu,6,5,6,Shaco,JUNGLE,17023,0,0,12602,44074,4079,154,2,9,31,2246,False
Laurențiu,8,5,9,Quinn,TOP,10238,0,0,8767,12838,4261,93,0,5,11,1359,False
Laurențiu,11,7,3,Shaco,JUNGLE,13332,0,0,11154,18124,3999,122,4,1,13,1569,True
Ev3rgreen,4,3,12,Viktor,MIDDLE,14792,0,0,12280,25597,3656,201,2,9,26,2148,False
Ev3rgreen,13,3,5,Viktor,MIDDLE,13154,0,0,11405,24613,1401,146,2,1,10,1316,True
Ev3rgreen,5,6,3,Yone,JUNGLE,18332,0,0,14574,17210,4591,271,4,2,30,1718,True
Ev3rgreen,2,0,9,Anivia,NONE,8076,0,0,6111,10358,0,122,0,8,10,1141,False
Ev3rgreen,3,8,4,Anivia,TOP,14646,0,0,9035,14863,3662,176,0,5,14,1518,False
Ev3rgreen,8,6,4,Caitlyn,BOTTOM,8342,0,0,10919,17699,1374,148,7,0,16,1269,True
Ev3rgreen,7,5,10,Viktor,MIDDLE,14566,0,0,12297,26075,1490,182,0,11,19,1790,False
Ev3rgreen,4,3,9,Galio,MIDDLE,8014,0,0,6395,12043,2683,88,0,9,10,1273,False
Ev3rgreen,4,8,4,Anivia,MIDDLE,14227,0,0,11175,17181,1986,161,2,0,11,1682,True
Ev3rgreen,5,13,7,Jinx,BOTTOM,17993,1,1,17792,31564,14007,257,7,5,22,2329,True
TEZT,2,16,12,Zyra,BOTTOM,15017,1,0,10385,21941,4071,71,0,9,36,2308,False
TEZT,3,2,7,Velkoz,BOTTOM,7257,0,0,6297,14511,0,35,0,10,21,1417,False
TEZT,5,13,6,Thresh,BOTTOM,11714,0,0,9685,11711,1515,70,1,11,38,1784,False
TEZT,1,18,4,Leona,BOTTOM,10682,0,0,8145,7377,4096,36,1,1,54,1827,True
TEZT,1,2,6,Thresh,NONE,4311,0,0,3996,3386,270,26,0,3,12,939,False
TEZT,11,9,8,KogMaw,BOTTOM,19562,2,0,17195,46223,9732,175,4,3,23,2163,True
TEZT,5,6,3,Thresh,NONE,5220,0,0,5747,6193,569,34,0,1,14,946,True
TEZT,4,23,12,Yorick,NONE,18695,0,0,12366,20471,9962,69,3,1,0,1143,True
TEZT,2,22,3,Thresh,BOTTOM,12334,0,0,8888,9764,1162,39,6,2,41,1620,True
TEZT,4,1,6,Kaisa,BOTTOM,9033,0,0,9100,8343,2446,160,1,7,14,1576,False
32LetniBoomer,2,10,5,Nautilus,BOTTOM,6847,0,0,6567,9090,1030,32,1,2,24,1245,True
32LetniBoomer,13,7,10,Sylas,JUNGLE,16574,1,2,15962,29029,20908,40,0,8,18,2174,False
32LetniBoomer,21,10,3,Sylas,JUNGLE,13600,2,0,14712,34427,15634,35,1,2,11,1426,True
32LetniBoomer,1,1,5,Olaf,NONE,5011,0,0,4836,3744,6768,2,0,2,7,915,False
32LetniBoomer,4,3,7,Malphite,TOP,11071,0,0,8600,23314,2902,115,0,9,10,1824,False
32LetniBoomer,7,21,11,Tristana,NONE,12816,0,0,11343,15827,3723,41,1,4,0,878,False
32LetniBoomer,16,34,16,Mordekaiser,TOP,29714,0,0,18785,47347,18659,53,0,4,0,1570,False
32LetniBoomer,6,7,0,Skarner,NONE,8800,2,0,7733,7506,7524,10,1,1,8,1119,True
32LetniBoomer,5,7,7,Kayn,JUNGLE,13196,1,0,11182,19766,20884,37,0,10,15,1789,False
32LetniBoomer,6,6,12,Sylas,JUNGLE,15791,1,0,13295,21413,17896,39,0,10,23,2081,False
DarkTechn0,3,3,9,Yone,MIDDLE,9714,0,0,9430,7594,1527,124,1,5,11,1487,False
DarkTechn0,2,3,4,AurelionSol,MIDDLE,12875,1,1,9522,9663,1402,150,1,4,14,1437,True
DarkTechn0,1,3,1,AurelionSol,NONE,8446,0,0,5443,3522,0,112,0,0,8,913,True
DarkTechn0,1,1,2,AurelionSol,NONE,6910,0,0,5201,3696,0,93,0,0,5,961,True
DarkTechn0,11,33,15,Teemo,MIDDLE,26934,0,0,16075,53234,1490,41,0,4,0,1515,False
DarkTechn0,7,21,18,Sion,MIDDLE,21575,0,0,14461,31563,7246,25,2,4,0,1451,False
DarkTechn0,12,24,17,Elise,MIDDLE,18896,0,0,14176,30087,3033,15,2,4,0,1209,False
DarkTechn0,7,10,7,Fizz,MIDDLE,12135,0,0,10031,22847,2067,121,0,9,13,1831,False
DarkTechn0,10,9,10,Fizz,TOP,14705,0,0,13781,20416,1062,163,3,3,13,1771,True
DarkTechn0,5,4,9,Yone,MIDDLE,12243,0,0,10901,17539,5203,159,0,11,12,1803,False
DizzyFaust,15,14,14,Jinx,BOTTOM,19367,0,0,19965,31010,4004,211,4,7,44,2461,True
DizzyFaust,9,8,6,Jinx,BOTTOM,10243,1,0,11192,18953,3315,115,3,0,28,1449,True
DizzyFaust,10,11,6,Kaisa,BOTTOM,14852,2,1,15455,30718,6578,206,6,2,46,1835,True
DizzyFaust,2,0,2,Yasuo,NONE,6601,0,0,5705,7105,1029,107,1,3,8,970,False
DizzyFaust,9,10,11,Ahri,MIDDLE,20249,0,0,16001,40890,4320,213,2,11,67,2510,False
DizzyFaust,2,14,6,Fizz,MIDDLE,12214,0,0,9241,10987,1716,125,5,2,19,1453,True
DizzyFaust,1,7,14,Sylas,MIDDLE,18264,0,0,11497,18760,7929,169,0,11,28,2302,False
DizzyFaust,5,7,7,Veigar,TOP,20643,0,0,14114,30476,6819,212,4,8,41,2351,True
DizzyFaust,9,23,8,TahmKench,TOP,19260,0,0,15505,31392,28346,137,5,4,91,2397,True
DizzyFaust,12,4,6,Mordekaiser,TOP,18818,0,0,16845,35176,12638,216,3,9,24,2110,False
Micro Ice,8,37,14,Urgot,TOP,24775,0,0,17657,31977,8173,128,1,4,0,1364,False
Micro Ice,21,24,15,Sylas,TOP,37283,0,0,21916,67297,12689,70,2,2,0,1801,True
Micro Ice,17,21,11,Fizz,NONE,16506,0,0,13200,25089,1515,21,4,1,0,975,True
Micro Ice,4,13,13,Anivia,NONE,18122,0,0,12686,16855,157,72,0,4,0,1193,False
Micro Ice,3,23,17,Karma,TOP,20524,0,0,12783,16620,3596,38,1,4,0,1313,False
Micro Ice,1,7,13,Nasus,TOP,17590,0,0,11642,17322,12266,217,1,10,21,2289,False
Micro Ice,8,13,8,Tristana,NONE,18111,0,0,13896,20910,5979,78,4,0,0,1183,True
Micro Ice,11,13,4,Nasus,TOP,19393,1,0,14662,39587,22641,160,6,6,23,1992,True
Micro Ice,13,7,8,Teemo,TOP,18274,0,0,16001,35724,1617,181,1,11,22,2018,False
Micro Ice,11,44,9,Morgana,TOP,30873,0,0,18064,56186,9549,94,4,4,0,1551,False
Ayden,10,12,4,MonkeyKing,JUNGLE,22919,4,0,17422,26809,22163,29,4,3,40,2733,True
Ayden,6,23,5,JarvanIV,JUNGLE,21124,5,1,15870,17693,21521,43,5,4,26,2380,True
Ayden,12,22,14,Cassiopeia,MIDDLE,23922,0,0,15609,27726,7493,72,4,2,0,1375,True
Ayden,21,18,16,Velkoz,TOP,26034,0,0,17813,49569,752,52,4,1,0,1427,True
Ayden,11,14,11,Leblanc,NONE,18453,0,0,12268,25765,1201,10,0,4,0,1144,False
Ayden,21,32,14,Syndra,TOP,28349,0,0,18519,62464,1428,85,1,4,0,1607,False
Ayden,6,36,7,Brand,NONE,15059,0,0,10315,22768,727,44,2,0,0,761,True
Ayden,5,24,12,Blitzcrank,JUNGLE,19082,0,0,12865,21781,3168,24,2,0,0,1248,True
Ayden,10,15,5,Zyra,NONE,15928,0,0,12626,22203,992,53,4,1,0,1025,True
Ayden,9,26,12,Kayle,NONE,21199,0,0,14547,22407,6812,98,3,1,0,1193,True
KaB0oM,11,27,18,Karthus,MIDDLE,19960,0,0,13849,28926,519,48,2,4,0,1222,False
KaB0oM,17,31,14,Lucian,TOP,23031,0,0,18635,36639,8424,103,1,4,0,1371,False
KaB0oM,15,16,12,Sylas,TOP,20439,0,0,15962,31564,9168,35,2,4,0,1407,False
KaB0oM,10,27,13,Malphite,NONE,16040,0,0,12800,20448,8523,20,1,4,0,1004,False
KaB0oM,3,30,7,Nami,NONE,12160,0,0,9091,9764,6623,6,0,4,0,948,False
KaB0oM,22,36,18,Kaisa,TOP,27054,0,0,20548,71183,4472,77,1,4,0,1637,False
KaB0oM,5,23,9,Kaisa,NONE,16534,0,0,11813,15888,4838,58,1,2,0,1013,False
KaB0oM,9,29,13,Nunu,NONE,13584,0,0,10501,20476,5567,10,2,1,0,835,True
KaB0oM,13,29,15,Varus,MIDDLE,22747,0,0,16420,37492,4374,55,3,2,0,1294,True
KaB0oM,5,12,12,Darius,NONE,11979,0,0,10021,11429,3725,41,0,0,0,904,False
Please Notice Me,3,4,4,MissFortune,BOTTOM,9473,0,0,9856,11680,2945,188,0,11,16,1720,False
Please Notice Me,4,4,6,Aphelios,BOTTOM,10794,0,0,9265,7221,4451,153,1,2,8,1521,True
Please Notice Me,12,12,5,Nilah,BOTTOM,14515,0,0,14515,26617,11120,171,7,4,9,1712,True
Please Notice Me,8,4,7,Nilah,BOTTOM,12254,0,0,12820,21069,10798,197,1,11,13,1528,False
Please Notice Me,5,4,3,Nilah,BOTTOM,11204,0,0,10001,15869,10161,176,2,4,18,1520,False
Please Notice Me,5,3,3,Aphelios,NONE,5444,0,0,6437,10585,2353,96,0,0,12,942,True
Please Notice Me,8,2,2,Kaisa,BOTTOM,15431,1,0,14718,18404,4120,217,5,7,20,1929,True
Please Notice Me,0,0,0,Kaisa,NONE,0,0,0,500,0,0,0,0,0,0,107,False
Please Notice Me,1,14,2,Janna,NONE,5811,0,0,6834,4155,3300,23,3,0,25,1058,True
Please Notice Me,1,6,6,Jinx,BOTTOM,7193,0,0,7200,12525,1768,124,1,3,10,1288,False
xtapodi,21,27,11,Shaco,MIDDLE,32053,0,0,19005,47672,2409,47,1,1,0,1455,True
xtapodi,8,14,11,Kaisa,NONE,13852,0,0,11596,21339,1202,45,0,4,0,972,False
xtapodi,4,34,12,Ashe,NONE,17971,0,0,13404,19704,3549,59,3,0,3,1161,True
xtapodi,11,19,14,Shyvana,NONE,17957,0,0,14338,33603,2276,61,0,1,0,1159,True
xtapodi,5,9,9,MasterYi,JUNGLE,11050,0,0,10719,16779,11438,32,0,9,13,1685,False
xtapodi,3,11,12,Morgana,BOTTOM,11366,0,0,9170,8548,3254,32,1,11,43,1807,False
xtapodi,2,10,6,Taric,BOTTOM,6901,0,0,6625,3273,8495,31,5,2,17,1230,True
xtapodi,0,14,8,Zyra,BOTTOM,10730,0,1,8719,12128,2108,32,2,7,40,1892,True
xtapodi,2,7,9,Thresh,BOTTOM,7085,0,0,6220,6649,472,35,0,10,12,1367,False
xtapodi,3,15,8,Rell,BOTTOM,10672,0,0,8690,8308,2705,38,2,5,40,1761,True
ho lee faq,12,17,4,Amumu,JUNGLE,18373,3,0,16448,24024,16216,37,1,1,22,1798,True
ho lee faq,0,15,7,Lulu,BOTTOM,13888,0,0,9266,6295,1407,17,6,8,37,1924,True
ho lee faq,8,9,4,Khazix,JUNGLE,15772,1,0,14636,21414,18732,46,3,7,19,2170,False
ho lee faq,1,2,6,Janna,NONE,4018,0,0,3775,2065,362,15,0,2,6,947,False
ho lee faq,0,20,7,Sona,BOTTOM,9633,0,0,7442,10933,9814,6,1,2,22,1607,True
ho lee faq,2,16,9,Senna,BOTTOM,13320,0,0,11319,19516,13065,35,3,9,42,1868,False
ho lee faq,2,9,2,Senna,NONE,7469,0,0,7564,11806,8650,26,4,0,18,1117,True
ho lee faq,2,15,11,Senna,BOTTOM,10535,0,0,8523,14228,11046,20,1,10,24,1915,False
ho lee faq,10,10,8,Amumu,JUNGLE,14083,1,0,13651,20208,13442,36,0,9,17,1825,False
ho lee faq,2,5,7,Ekko,JUNGLE,14248,1,0,10540,14777,14182,57,1,10,20,1943,False
Hjalmari,0,8,0,Xerath,BOTTOM,7098,0,0,6503,11485,227,11,2,0,32,1287,True
Hjalmari,0,23,8,Alistar,BOTTOM,13954,0,0,9151,7375,23523,30,2,7,59,2271,False
Hjalmari,6,3,4,Xerath,BOTTOM,10308,0,0,9647,17513,175,61,0,7,53,1711,False
Hjalmari,5,13,9,Xerath,BOTTOM,12003,0,0,9705,20251,567,43,1,9,44,1860,False
Hjalmari,5,13,9,Xerath,BOTTOM,14255,0,0,11728,30429,469,50,1,9,60,2262,False
Hjalmari,9,8,1,Xerath,MIDDLE,15943,0,0,11688,35835,3382,144,3,3,30,1785,True
Hjalmari,4,21,9,Xerath,BOTTOM,15207,0,0,11031,27396,1107,49,1,5,60,2069,True
Hjalmari,2,7,4,Xerath,BOTTOM,12165,0,0,8179,21236,0,20,3,1,45,1732,True
Hjalmari,0,11,4,Xerath,BOTTOM,9747,0,0,8099,12847,1010,31,1,1,35,1638,True
Hjalmari,1,11,7,Xerath,BOTTOM,10411,0,0,7516,17971,0,29,0,9,38,1921,False
Water Is Moist,4,4,9,Diana,JUNGLE,14743,1,0,12316,20011,10372,34,0,11,23,1897,False
Water Is Moist,2,4,3,Riven,NONE,9456,0,0,6399,8304,986,108,0,7,11,1198,False
Water Is Moist,0,12,9,Nami,BOTTOM,9285,0,0,6162,7331,4733,7,0,11,34,1570,False
Water Is Moist,4,22,9,Karma,BOTTOM,14547,0,0,10330,11394,12869,27,0,10,68,2141,False
